Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
147.200000,147.80000,,,,VK3RPS,"Melbourne West - Mt Cottrell",Victoria,Australia,Fusion WIRES-X ,
147.225000,147.82500,,91.5,,VK3RWG,"Vic Highlands - Mt Baw Baw",Victoria,Australia,FM ,
147.250000,147.85000,,,,VK3RMM,"Mount Macedon - Mt Macedon",Victoria,Australia,FM ,
147.325000,147.92500,,91.5,,VK3RPR,"Penshurst - Mt Rouse",Victoria,Australia,FM ,
147.350000,147.95000,,,,VK3RMS,"Sassafras - Olinda",Victoria,Australia,FM ,
147.375000,147.97500,,91.5,,VK3RMU,"Healesville - Mt St Leonard",Victoria,Australia,FM ,
438.025000,433.02500,,,,VK3REG,"Cann River - Mt Cann",Victoria,Australia,FM ,
438.025000,433.02500,,91.5,91.5,VK3RCC,"Melbourne - CBD East",Victoria,Australia,FM ,
438.025000,433.02500,,,,VK3RCP,"Ouyen",Victoria,Australia,FM ,
438.050000,432.65000,,,,VK3RMM,"Mount Macedon - Mt Macedon",Victoria,Australia,DSTAR ,
438.075000,433.07500,,,,VK3RDU,"Shepparton - Mt Major",Victoria,Australia,FM ,
438.100000,431.10000,,91.5,CSQ,VK3RSU,"Melbourne - Police Academy site",Victoria,Australia,FM ,
438.125000,431.12500,,,,VK3RTA,"Beulah",Victoria,Australia,DMR ,1
438.125000,432.72500,,,,VK3RMC,"Dandenong Sth - Narre Warren",Victoria,Australia,DSTAR ,
438.125000,433.12500,,,,VK3RLE,"Mansfield - Paps",Victoria,Australia,FM ,
438.150000,433.15000,,91.5,,VK3RIR,"Dromana - Arthur's Seat",Victoria,Australia,FM ,
438.175000,433.17500,,123.0,,VK3RUG,"Eildon - Devil's River",Victoria,Australia,FM ,
438.175000,431.17500,,91.5,,VK3RBH,"Geelong - CBD",Victoria,Australia,FM ,
438.187500,432.78750,,,,VK3RCD,"Kinglake",Victoria,Australia,FM WIRES-X ,
438.200000,432.80000,,,,VK3RGV,"Euroa - Mt Wombat",Victoria,Australia,DSTAR ,
438.225000,433.22500,,91.5,,VK3RMS,"Sassafras - Olinda",Victoria,Australia,FM IRLP ,
438.262500,431.26250,,,,VK3RDR,"Cranbourne",Victoria,Australia,DMR ,1
438.275000,432.87500,,,,VK3RSD,"Upwey - Water Tower",Victoria,Australia,P-25 ,
438.300000,432.90000,,,,VK3RWN,"Sassafras - Olinda",Victoria,Australia,DSTAR ,
438.325000,433.32500,,91.5,91.5,VK3RMH,"Etham - Kangaroo Ground",Victoria,Australia,FM Fusion WIRES-X ,
438.325000,431.32500,,,,VK3RHD,"Horsham - CBD",Victoria,Australia,DMR P-25 Fusion ,1659
438.350000,431.35000,,91.5,91.5,VK3RFN,"Melbourne East - Richmond",Victoria,Australia,FM Fusion WIRES-X ,
438.350000,431.35000,,91.5,,VK3RCU,"Wedderburn - Mt Moliagul No2",Victoria,Australia,FM ,
438.375000,433.37500,,91.5,,VK3RLV,"Callignee",Victoria,Australia,FM ,
438.375000,433.37500,,,,VK3RGS,"Foster - Mt Fatigue",Victoria,Australia,FM ,
438.375000,433.37500,,91.5,91.5,VK3RGU,"Traralgon - Mt Carrajung",Victoria,Australia,FM ,
438.375000,433.37500,,,,VK3RHO,"Vic Highlands - Mt Hotham",Victoria,Australia,FM ,
438.400000,433.40000,,123.0,,VK3RFY,"Melbourne North West - Hillside",Victoria,Australia,FM WIRES-X ,
438.400000,431.40000,,,,VK3RAY,"Wodonga",Victoria,Australia,DMR ,1
438.425000,431.42500,,91.5,,VK3RGW,"Cranbourne",Victoria,Australia,FM IRLP ,
438.425000,433.42500,,91.5,91.5,VK3RCU,"Wedderburn - Mt Moliagul No1",Victoria,Australia,FM ,
438.450000,433.45000,,91.5,,VK3RBW,"Gisborne - Mt Gisborne",Victoria,Australia,EchoLink IRLP Fusion ,
438.475000,431.47500,,91.5,91.5,VK3RBU,"Ballarat - Mt Hollowback",Victoria,Australia,FM P-25 ,
438.487500,431.48750,,,,VK3RMW,"Wonga Park",Victoria,Australia,FM ,
438.500000,433.50000,,91.5,,VK3RLP,"Geelong - Ceres",Victoria,Australia,FM WIRES-X ,
